0	0	a	i did not eat as much 
1	0	a	i guess i usually do not want to do those things i would rather go rest 
2	0	a	i guess i would rather not do things 
3	1	a	it is definitely harder whenever you are tired 
4	0	a	we were going to go to the store but i was too tired 
5	0	a	ballet 
6	0	a	i guess i am usually kind of grumpy 
7	0	a	i guess i am not as happy 
8	0	a	a little bit slowly 
9	1	a	it is hard to get my school work done when i am tired 
10	0	a	it feels like i am losing strength 
11	0	a	it feels like i am restless like a little weak 
12	0	a	i feel droopy 
13	0	a	like when i push up my arms start to wobble 
14	1	a	i could not pay attention in class 
15	0	a	i can not sleep at night sometimes cause it is hard for me to sleep 
16	0	a	it slows me down 
17	0	a	it is really hard to think when i am tired 
18	1	a	i can not pay attention and it is hard for me to stay awake 
19	0	a	usually when i am tired i feel uncomfortable and like i do not want to talk or interact with anybody 
20	0	a	it affects like how when i speak to people cause like sometimes i just get so tired that if somebodys talking to me i just kind of like lash out on them 
21	0	a	and umm it will affect my daily life cause i will not do like tasks or anything that i usually do everyday i will not do them as good as i am if i am tired 
22	0	a	i was just really sleepy all the time 
23	0	a	i came to school that day and i was just kind of grumpy and all of my friends were just asking me what was wrong 
24	0	a	sometimes it will cause like i will get like like if i am super tired like i will get really bad headaches 
25	0	a	whenever i am tired and i am like for example i am wanting to sew or like look at something like draw like in fashion 
26	0	a	or just talk to my friends or hang out with them i will not want to do that 
27	0	a	sometimes it will disappoint my friends and they are like you know i guess cause we are like teenagers like why do not you want to hang out with me 
28	0	a	so i just get angry and grumpy and sometimes it makes me sad because i can not do things like i usually can do 
29	0	a	like if i am wanting to walk around and i am just so tired i have to like i can not i have to sit down and just chill out 
30	0	a	sometimes even if i am like so hungry but i am also like super tired i do not even feel like eating and i just want to go to sleep 
31	1	a	i guess it just makes me out of it and like if a teacher is i guess like teaching the class or giving a lecture or something i zone out and i can not pay attention and then i miss that time that i should have been paying attention 
32	1	a	especially like first period i can not focus 
33	0	a	i remember before i have been so tired that i started crying cause i just i was like i do not know i just could not my body was not with it so i just kind of started crying 
34	0	a	like i will be so tired and then i will have something else going on in my life and i will think that is it is like that that is stressing me out but really it is just like because i am so tired 
35	1	a	i have been taking like ap classes and honors classes so those really stress me out and then they give so much homework that it is just i will be so tired i will be tired that i can not concentrate 
